model_code	model_name	임베딩용 요약텍스트	임베딩용 요약 텍스트2	임베딩용 요약 텍스트3
3372	뉴5시리즈(G60)	BMW 뉴5시리즈(G60) | 브랜드국가 독일 | 세단 | 준대형세단 | 5인 | 3열 없음 | 동력원 가솔린/디젤/하이브리드/전기(라인업별 상이) | 연비 적정~나쁨 | 유지비 적정~높음 | #패밀리세단 #장거리 #편안함 | 장점 정숙성 우수/승차감 중심 세팅 | 단점 유지비 증가/도심 연비 부담	모델=뉴5시리즈(G60) | 바디=승용(세단/해치/왜건) | 차급=승용(급 미상) | 인승=5인 | 3열=없음 | 연비등급=적정 | 태그=출퇴근;도심주행;장거리 | 장점=일상용 밸런스; 연비·승차감 무난(급/파워트레인별); 운전 난이도 낮음 | 단점=레저/적재 한계; 눈길/험로 약함; 옵션/트림 차이 큼	제조사=BMW | 모델=뉴5시리즈(G60) | 연식=2023.0~현재 | 별명=독3사 감성(비공식) | 태그=#BMW #수입차 | 한줄=수입차 선호 수요에서 자주 비교되는 라인업.
1505	6시리즈	BMW 6시리즈 | 브랜드국가 독일 | 기타 | 기타 | 정보없음 | 3열 없음 | 동력원 가솔린/디젤/전기(라인업별 상이) | 연비 적정 | 유지비 적정 | #정보확인필요 | 장점 차량 특성 확인 필요 | 단점 세부 정보 확인 필요	모델=6시리즈 | 브랜드=BMW | 구분=수입 | 브랜드국가=독일 | 바디=승용(세단/해치/왜건) | 차급=승용(급 미상) | 인승=5인 | 3열=없음 | 연비등급=적정 | 유지비=높음 | 태그=출퇴근;도심주행;장거리 | 장점=일상용 밸런스; 연비·승차감 무난(급/파워트레인별); 운전 난이도 낮음 | 단점=레저/적재 한계; 눈길/험로 약함; 옵션/트림 차이 큼	제조사=BMW | 모델=6시리즈 | 연식=1976.0~2011 | 별명=독3사 감성(비공식) | 태그=#BMW #수입차 | 한줄=수입차 선호 수요에서 자주 비교되는 라인업.
1977	뉴6시리즈	BMW 뉴6시리즈 | 브랜드국가 독일 | 기타 | 기타 | 정보없음 | 3열 없음 | 동력원 가솔린/디젤/전기(라인업별 상이) | 연비 적정 | 유지비 적정 | #정보확인필요 | 장점 차량 특성 확인 필요 | 단점 세부 정보 확인 필요	모델=뉴6시리즈 | 바디=승용(세단/해치/왜건) | 차급=승용(급 미상) | 인승=5인 | 3열=없음 | 연비등급=적정 | 태그=출퇴근;도심주행;장거리 | 장점=일상용 밸런스; 연비·승차감 무난(급/파워트레인별); 운전 난이도 낮음 | 단점=레저/적재 한계; 눈길/험로 약함; 옵션/트림 차이 큼	제조사=BMW | 모델=뉴6시리즈 | 연식=2011.0~현재 | 별명=독3사 감성(비공식) | 태그=#BMW #수입차 | 한줄=수입차 선호 수요에서 자주 비교되는 라인업.
1506	7시리즈	BMW 7시리즈 | 브랜드국가 독일 | 기타 | 기타 | 정보없음 | 3열 없음 | 동력원 가솔린/디젤/전기(라인업별 상이) | 연비 적정 | 유지비 적정 | #정보확인필요 | 장점 차량 특성 확인 필요 | 단점 세부 정보 확인 필요	모델=7시리즈 | 브랜드=BMW | 구분=수입 | 브랜드국가=독일 | 바디=승용(세단/해치/왜건) | 차급=대형 세단 | 인승=5인 | 3열=없음 | 연비등급=적정 | 유지비=높음 | 태그=출퇴근;도심주행;장거리 | 장점=일상용 밸런스; 연비·승차감 무난(급/파워트레인별); 운전 난이도 낮음 | 단점=레저/적재 한계; 눈길/험로 약함; 옵션/트림 차이 큼	제조사=BMW | 모델=7시리즈 | 연식=1977.0~2009 | 별명=독3사 감성(비공식) | 태그=#BMW #수입차 | 한줄=수입차 선호 수요에서 자주 비교되는 라인업.
1510	뉴7시리즈	BMW 뉴7시리즈 | 브랜드국가 독일 | 기타 | 기타 | 정보없음 | 3열 없음 | 동력원 가솔린/디젤/전기(라인업별 상이) | 연비 적정 | 유지비 적정 | #정보확인필요 | 장점 차량 특성 확인 필요 | 단점 세부 정보 확인 필요	모델=뉴7시리즈 | 바디=승용(세단/해치/왜건) | 차급=승용(급 미상) | 인승=5인 | 3열=없음 | 연비등급=적정 | 태그=출퇴근;도심주행;장거리 | 장점=일상용 밸런스; 연비·승차감 무난(급/파워트레인별); 운전 난이도 낮음 | 단점=레저/적재 한계; 눈길/험로 약함; 옵션/트림 차이 큼	제조사=BMW | 모델=뉴7시리즈 | 연식=2009.0~2015 | 별명=독3사 감성(비공식) | 태그=#BMW #수입차 | 한줄=수입차 선호 수요에서 자주 비교되는 라인업.
2847	7시리즈 (G11)	BMW 7시리즈 (G11) | 브랜드국가 독일 | 기타 | 기타 | 정보없음 | 3열 없음 | 동력원 가솔린/디젤/전기(라인업별 상이) | 연비 적정 | 유지비 적정 | #정보확인필요 | 장점 차량 특성 확인 필요 | 단점 세부 정보 확인 필요	모델=7시리즈 (G11) | 브랜드=BMW | 구분=수입 | 브랜드국가=독일 | 바디=승용(세단/해치/왜건) | 차급=대형 세단 | 인승=5인 | 3열=없음 | 연비등급=적정 | 유지비=높음 | 태그=출퇴근;도심주행;장거리 | 장점=일상용 밸런스; 연비·승차감 무난(급/파워트레인별); 운전 난이도 낮음 | 단점=레저/적재 한계; 눈길/험로 약함; 옵션/트림 차이 큼	제조사=BMW | 모델=7시리즈 (G11) | 연식=2015.0~2022 | 별명=독3사 감성(비공식) | 태그=#BMW #수입차 | 한줄=수입차 선호 수요에서 자주 비교되는 라인업.
3314	7시리즈(G70)	BMW 7시리즈(G70) | 브랜드국가 독일 | 기타 | 기타 | 정보없음 | 3열 없음 | 동력원 가솔린/디젤/전기(라인업별 상이) | 연비 적정 | 유지비 적정 | #정보확인필요 | 장점 차량 특성 확인 필요 | 단점 세부 정보 확인 필요	모델=7시리즈(G70) | 브랜드=Genesis | 구분=국산 | 브랜드국가=한국 | 바디=승용(세단/해치/왜건) | 차급=승용(급 미상) | 인승=5인 | 3열=없음 | 연비등급=적정 | 유지비=낮음~보통 | 태그=출퇴근;도심주행;장거리 | 장점=일상용 밸런스; 연비·승차감 무난(급/파워트레인별); 운전 난이도 낮음 | 단점=레저/적재 한계; 눈길/험로 약함; 옵션/트림 차이 큼	제조사=BMW | 모델=7시리즈(G70) | 연식=2022.0~현재 | 별명=독3사 감성(비공식) | 태그=#BMW #수입차 | 한줄=수입차 선호 수요에서 자주 비교되는 라인업.
1507	8시리즈	BMW 8시리즈 | 브랜드국가 독일 | 기타 | 기타 | 정보없음 | 3열 없음 | 동력원 가솔린/디젤/전기(라인업별 상이) | 연비 적정 | 유지비 적정 | #정보확인필요 | 장점 차량 특성 확인 필요 | 단점 세부 정보 확인 필요	모델=8시리즈 | 브랜드=BMW | 구분=수입 | 브랜드국가=독일 | 바디=승용(세단/해치/왜건) | 차급=승용(급 미상) | 인승=5인 | 3열=없음 | 연비등급=적정 | 유지비=높음 | 태그=출퇴근;도심주행;장거리 | 장점=일상용 밸런스; 연비·승차감 무난(급/파워트레인별); 운전 난이도 낮음 | 단점=레저/적재 한계; 눈길/험로 약함; 옵션/트림 차이 큼	제조사=BMW | 모델=8시리즈 | 연식=1989.0~1999 | 별명=독3사 감성(비공식) | 태그=#BMW #수입차 | 한줄=수입차 선호 수요에서 자주 비교되는 라인업.
3053	8시리즈 (G15)	BMW 8시리즈 (G15) | 브랜드국가 독일 | 기타 | 기타 | 정보없음 | 3열 없음 | 동력원 가솔린/디젤/전기(라인업별 상이) | 연비 적정 | 유지비 적정 | #정보확인필요 | 장점 차량 특성 확인 필요 | 단점 세부 정보 확인 필요	모델=8시리즈 (G15) | 브랜드=BMW | 구분=수입 | 브랜드국가=독일 | 바디=승용(세단/해치/왜건) | 차급=승용(급 미상) | 인승=5인 | 3열=없음 | 연비등급=적정 | 유지비=높음 | 태그=출퇴근;도심주행;장거리 | 장점=일상용 밸런스; 연비·승차감 무난(급/파워트레인별); 운전 난이도 낮음 | 단점=레저/적재 한계; 눈길/험로 약함; 옵션/트림 차이 큼	제조사=BMW | 모델=8시리즈 (G15) | 연식=2018.0~현재 | 별명=독3사 감성(비공식) | 태그=#BMW #수입차 | 한줄=수입차 선호 수요에서 자주 비교되는 라인업.
1992	M시리즈	BMW M시리즈 | 브랜드국가 독일 | 기타 | 기타 | 정보없음 | 3열 없음 | 동력원 가솔린/디젤/전기(라인업별 상이) | 연비 적정 | 유지비 적정 | #정보확인필요 | 장점 차량 특성 확인 필요 | 단점 세부 정보 확인 필요	모델=M시리즈 | 브랜드=BMW | 구분=수입 | 브랜드국가=독일 | 바디=승용(세단/해치/왜건) | 차급=승용(급 미상) | 인승=5인 | 3열=없음 | 연비등급=적정 | 유지비=높음 | 태그=출퇴근;도심주행;장거리 | 장점=일상용 밸런스; 연비·승차감 무난(급/파워트레인별); 운전 난이도 낮음 | 단점=레저/적재 한계; 눈길/험로 약함; 옵션/트림 차이 큼	제조사=BMW | 모델=M시리즈 | 연식=1972.0~현재 | 별명=독3사 감성(비공식) | 태그=#BMW #수입차 | 한줄=수입차 선호 수요에서 자주 비교되는 라인업.
1991	X1 (E84)	BMW X1 (E84) | 브랜드국가 독일 | 기타 | 기타 | 정보없음 | 3열 없음 | 동력원 가솔린/디젤/전기(라인업별 상이) | 연비 적정 | 유지비 적정 | #정보확인필요 | 장점 차량 특성 확인 필요 | 단점 세부 정보 확인 필요	모델=X1 (E84) | 브랜드=BMW | 구분=수입 | 브랜드국가=독일 | 바디=SUV/크로스오버 | 차급=소형/준중형 SUV | 인승=5인 | 3열=없음 | 연비등급=적정 | 유지비=높음 | 태그=패밀리;레저/캠핑;눈길/험로(구동옵션 확인) | 장점=시야 좋음/공간 활용; 패밀리·레저 무난; 노면 대응력(구동/타이어에 좌우) | 단점=동급 세단 대비 연비 불리; 타이어/유지비 상승 가능; 도심 주차 부담(차급별)	제조사=BMW | 모델=X1 (E84) | 연식=2009.0~2015 | 별명=독3사 감성(비공식) | 태그=#BMW #수입차 | 한줄=수입차 선호 수요에서 자주 비교되는 라인업.
2896	X1 (F48)	BMW X1 (F48) | 브랜드국가 독일 | 기타 | 기타 | 정보없음 | 3열 없음 | 동력원 가솔린/디젤/전기(라인업별 상이) | 연비 적정 | 유지비 적정 | #정보확인필요 | 장점 차량 특성 확인 필요 | 단점 세부 정보 확인 필요	모델=X1 (F48) | 브랜드=BMW | 구분=수입 | 브랜드국가=독일 | 바디=SUV/크로스오버 | 차급=소형/준중형 SUV | 인승=5인 | 3열=없음 | 연비등급=적정 | 유지비=높음 | 태그=패밀리;레저/캠핑;눈길/험로(구동옵션 확인) | 장점=시야 좋음/공간 활용; 패밀리·레저 무난; 노면 대응력(구동/타이어에 좌우) | 단점=동급 세단 대비 연비 불리; 타이어/유지비 상승 가능; 도심 주차 부담(차급별)	제조사=BMW | 모델=X1 (F48) | 연식=2016.0~2023 | 별명=독3사 감성(비공식) | 태그=#BMW #수입차 | 한줄=수입차 선호 수요에서 자주 비교되는 라인업.
3324	X1(U11)	BMW X1(U11) | 브랜드국가 독일 | 기타 | 기타 | 정보없음 | 3열 없음 | 동력원 가솔린/디젤/전기(라인업별 상이) | 연비 적정 | 유지비 적정 | #정보확인필요 | 장점 차량 특성 확인 필요 | 단점 세부 정보 확인 필요	모델=X1(U11) | 브랜드=BMW | 구분=수입 | 브랜드국가=독일 | 바디=SUV/크로스오버 | 차급=소형/준중형 SUV | 인승=5인 | 3열=없음 | 연비등급=적정 | 유지비=높음 | 태그=패밀리;레저/캠핑;눈길/험로(구동옵션 확인) | 장점=시야 좋음/공간 활용; 패밀리·레저 무난; 노면 대응력(구동/타이어에 좌우) | 단점=동급 세단 대비 연비 불리; 타이어/유지비 상승 가능; 도심 주차 부담(차급별)	제조사=BMW | 모델=X1(U11) | 연식=2023.0~현재 | 별명=독3사 감성(비공식) | 태그=#BMW #수입차 | 한줄=수입차 선호 수요에서 자주 비교되는 라인업.
1516	X3	BMW X3 | 브랜드국가 독일 | 기타 | 기타 | 정보없음 | 3열 없음 | 동력원 가솔린/디젤/전기(라인업별 상이) | 연비 적정 | 유지비 적정 | #정보확인필요 | 장점 차량 특성 확인 필요 | 단점 세부 정보 확인 필요	모델=X3 | 브랜드=BMW | 구분=수입 | 브랜드국가=독일 | 바디=SUV/크로스오버 | 차급=중형 SUV | 인승=5인 | 3열=없음 | 연비등급=적정 | 유지비=높음 | 태그=패밀리;레저/캠핑;눈길/험로(구동옵션 확인) | 장점=시야 좋음/공간 활용; 패밀리·레저 무난; 노면 대응력(구동/타이어에 좌우) | 단점=동급 세단 대비 연비 불리; 타이어/유지비 상승 가능; 도심 주차 부담(차급별)	제조사=BMW | 모델=X3 | 연식=2004.0~2011 | 별명=독3사 감성(비공식) | 태그=#BMW #수입차 | 한줄=수입차 선호 수요에서 자주 비교되는 라인업.
2043	X3 (F25)	BMW X3 (F25) | 브랜드국가 독일 | 기타 | 기타 | 정보없음 | 3열 없음 | 동력원 가솔린/디젤/전기(라인업별 상이) | 연비 적정 | 유지비 적정 | #정보확인필요 | 장점 차량 특성 확인 필요 | 단점 세부 정보 확인 필요	모델=X3 (F25) | 브랜드=BMW | 구분=수입 | 브랜드국가=독일 | 바디=SUV/크로스오버 | 차급=중형 SUV | 인승=5인 | 3열=없음 | 연비등급=적정 | 유지비=높음 | 태그=패밀리;레저/캠핑;눈길/험로(구동옵션 확인) | 장점=시야 좋음/공간 활용; 패밀리·레저 무난; 노면 대응력(구동/타이어에 좌우) | 단점=동급 세단 대비 연비 불리; 타이어/유지비 상승 가능; 도심 주차 부담(차급별)	제조사=BMW | 모델=X3 (F25) | 연식=2011.0~2017 | 별명=독3사 감성(비공식) | 태그=#BMW #수입차 | 한줄=수입차 선호 수요에서 자주 비교되는 라인업.
2910	X3 (G01)	BMW X3 (G01) | 브랜드국가 독일 | 기타 | 기타 | 정보없음 | 3열 없음 | 동력원 가솔린/디젤/전기(라인업별 상이) | 연비 적정 | 유지비 적정 | #정보확인필요 | 장점 차량 특성 확인 필요 | 단점 세부 정보 확인 필요	모델=X3 (G01) | 브랜드=BMW | 구분=수입 | 브랜드국가=독일 | 바디=SUV/크로스오버 | 차급=중형 SUV | 인승=5인 | 3열=없음 | 연비등급=적정 | 유지비=높음 | 태그=패밀리;레저/캠핑;눈길/험로(구동옵션 확인) | 장점=시야 좋음/공간 활용; 패밀리·레저 무난; 노면 대응력(구동/타이어에 좌우) | 단점=동급 세단 대비 연비 불리; 타이어/유지비 상승 가능; 도심 주차 부담(차급별)	제조사=BMW | 모델=X3 (G01) | 연식=2017.0~현재 | 별명=독3사 감성(비공식) | 태그=#BMW #수입차 | 한줄=수입차 선호 수요에서 자주 비교되는 라인업.
3430	X3 (G45)	BMW X3 (G45) | 브랜드국가 독일 | 기타 | 기타 | 정보없음 | 3열 없음 | 동력원 가솔린/디젤/전기(라인업별 상이) | 연비 적정 | 유지비 적정 | #정보확인필요 | 장점 차량 특성 확인 필요 | 단점 세부 정보 확인 필요	모델=X3 (G45) | 브랜드=BMW | 구분=수입 | 브랜드국가=독일 | 바디=SUV/크로스오버 | 차급=중형 SUV | 인승=5인 | 3열=없음 | 연비등급=적정 | 유지비=높음 | 태그=패밀리;레저/캠핑;눈길/험로(구동옵션 확인) | 장점=시야 좋음/공간 활용; 패밀리·레저 무난; 노면 대응력(구동/타이어에 좌우) | 단점=동급 세단 대비 연비 불리; 타이어/유지비 상승 가능; 도심 주차 부담(차급별)	제조사=BMW | 모델=X3 (G45) | 연식=2024.0~현재 | 별명=독3사 감성(비공식) | 태그=#BMW #수입차 | 한줄=수입차 선호 수요에서 자주 비교되는 라인업.
1517	X5 (E53)	BMW X5 (E53) | 브랜드국가 독일 | SUV | 중형SUV | 5~7인 | 3열 있음 | 동력원 가솔린/디젤/하이브리드/전기(라인업별 상이) | 연비 적정 | 유지비 적정 | #패밀리SUV #장거리 #차박 | 장점 패밀리 활용성 우수/공간 활용성 | 단점 도심 연비 아쉬움	모델=X5 (E53) | 브랜드=BMW | 구분=수입 | 브랜드국가=독일 | 바디=SUV/크로스오버 | 차급=대형 SUV | 인승=6~7인 | 3열=있음/옵션 | 연비등급=적정 | 유지비=높음 | 태그=패밀리;레저/캠핑;눈길/험로(구동옵션 확인) | 장점=시야 좋음/공간 활용; 패밀리·레저 무난; 노면 대응력(구동/타이어에 좌우) | 단점=동급 세단 대비 연비 불리; 타이어/유지비 상승 가능; 도심 주차 부담(차급별)	제조사=BMW | 모델=X5 (E53) | 연식=1999.0~2006 | 별명=독3사 감성(비공식) | 태그=#BMW #수입차 | 한줄=수입차 선호 수요에서 자주 비교되는 라인업.
1994	X5 (E70)	BMW X5 (E70) | 브랜드국가 독일 | SUV | 중형SUV | 5~7인 | 3열 있음 | 동력원 가솔린/디젤/하이브리드/전기(라인업별 상이) | 연비 적정 | 유지비 적정 | #패밀리SUV #장거리 #차박 | 장점 패밀리 활용성 우수/공간 활용성 | 단점 도심 연비 아쉬움	모델=X5 (E70) | 브랜드=BMW | 구분=수입 | 브랜드국가=독일 | 바디=SUV/크로스오버 | 차급=대형 SUV | 인승=6~7인 | 3열=있음/옵션 | 연비등급=적정 | 유지비=높음 | 태그=패밀리;레저/캠핑;눈길/험로(구동옵션 확인) | 장점=시야 좋음/공간 활용; 패밀리·레저 무난; 노면 대응력(구동/타이어에 좌우) | 단점=동급 세단 대비 연비 불리; 타이어/유지비 상승 가능; 도심 주차 부담(차급별)	제조사=BMW | 모델=X5 (E70) | 연식=2007.0~2013 | 별명=독3사 감성(비공식) | 태그=#BMW #수입차 | 한줄=수입차 선호 수요에서 자주 비교되는 라인업.
2960	X5 (F15)	BMW X5 (F15) | 브랜드국가 독일 | SUV | 중형SUV | 5~7인 | 3열 있음 | 동력원 가솔린/디젤/하이브리드/전기(라인업별 상이) | 연비 적정 | 유지비 적정 | #패밀리SUV #장거리 #차박 | 장점 패밀리 활용성 우수/공간 활용성 | 단점 도심 연비 아쉬움	모델=X5 (F15) | 브랜드=BMW | 구분=수입 | 브랜드국가=독일 | 바디=SUV/크로스오버 | 차급=대형 SUV | 인승=6~7인 | 3열=있음/옵션 | 연비등급=적정 | 유지비=높음 | 태그=패밀리;레저/캠핑;눈길/험로(구동옵션 확인) | 장점=시야 좋음/공간 활용; 패밀리·레저 무난; 노면 대응력(구동/타이어에 좌우) | 단점=동급 세단 대비 연비 불리; 타이어/유지비 상승 가능; 도심 주차 부담(차급별)	제조사=BMW | 모델=X5 (F15) | 연식=2013.0~2018 | 별명=독3사 감성(비공식) | 태그=#BMW #수입차 | 한줄=수입차 선호 수요에서 자주 비교되는 라인업.
