# 추천 평가 3줄 구성용 카테고리 문구 (PRICE/CONDITION/MARKET/USABILITY/OVERALL)
# 형식: 카테고리|문구 한 줄. 서비스에서 PRICE+CONDITION+OVERALL 또는 MARKET+USABILITY+OVERALL 등 3줄 조합
# PRICE (1~60)
OVERALL|전반적인 조건을 고려했을 때 추천 가능합니다.
OVERALL|균형 잡힌 구성으로 안정적인 평가가 가능합니다.
OVERALL|다양한 요소에서 긍정적인 평가가 가능한 차량입니다.
OVERALL|현재 기준에서 선택 가치가 높은 매물입니다.
OVERALL|종합 평가 시 만족도가 기대되는 차량입니다.
OVERALL|안정적인 구매를 원하는 경우 적합합니다.
OVERALL|전반적인 상품성이 우수한 매물입니다.
OVERALL|여러 조건을 고려했을 때 합리적인 선택입니다.
OVERALL|전체적인 평가 기준에서 긍정적인 차량입니다.
OVERALL|현재 시장 상황에서 추천 가능한 매물입니다.
OVERALL|조건 대비 만족도가 기대되는 차량입니다.
OVERALL|종합적으로 균형 잡힌 선택지입니다.
OVERALL|전반적인 완성도가 높은 차량입니다.
OVERALL|합리적인 구매 판단이 가능한 매물입니다.
OVERALL|다양한 비교 기준에서 추천 가능한 차량입니다.
OVERALL|안정적인 조건을 갖춘 매물입니다.
OVERALL|종합적인 관점에서 경쟁력이 있습니다.
OVERALL|구매 만족도가 기대되는 차량입니다.
OVERALL|전체적인 조건이 안정적으로 평가됩니다.
OVERALL|다양한 요소를 고려했을 때 추천 가능한 차량입니다.
OVERALL|현재 기준에서 합리적인 선택으로 평가됩니다.
OVERALL|종합적인 상품성이 우수합니다.
OVERALL|전반적으로 긍정적인 평가가 가능한 매물입니다.
OVERALL|균형 잡힌 조건으로 추천 가능한 차량입니다.
OVERALL|여러 요소에서 만족도가 기대됩니다.
OVERALL|종합 평가 기준에서 선택 가치가 높습니다.
OVERALL|안정적인 선택지로 판단되는 매물입니다.
OVERALL|전반적인 조건이 우수한 차량입니다.
OVERALL|다양한 관점에서 추천 가능한 매물입니다.
OVERALL|구매 이후 활용도가 기대되는 차량입니다.
OVERALL|종합적으로 경쟁력이 확인되는 차량입니다.
OVERALL|현재 시점에서 추천 가능한 조건입니다.
OVERALL|전체적인 평가에서 긍정적인 결과입니다.
OVERALL|안정적인 선택을 원하는 경우 적합한 매물입니다.
OVERALL|전반적인 조건이 균형 잡혀 있습니다.
OVERALL|종합적으로 만족도가 기대되는 차량입니다.
OVERALL|다양한 요소를 고려했을 때 추천 가능한 차량입니다.
OVERALL|현재 시장 기준에서 합리적인 매물로 평가됩니다.
